Date,Open,High,Low,Close,Volume
2017-01-01 00:00:00,968.29,968.76,964.54,968.0,384541
2017-01-01 01:00:00,968.0,968.1,963.4,963.4,355937
2017-01-01 02:00:00,963.4,964.6,963.16,964.26,160422
2017-01-01 03:00:00,964.26,965.0,961.69,961.69,286675
2017-01-01 04:00:00,961.69,962.1,960.9,961.99,145351
2017-01-01 05:00:00,961.99,968.86,961.99,964.47,383587
2017-01-01 06:00:00,964.47,967.77,964.0,967.77,460085
2017-01-01 07:00:00,967.77,968.23,966.64,967.5,279361
2017-01-01 08:00:00,967.5,967.09,965.43,965.56,166466
2017-01-01 09:00:00,965.56,966.77,965.5,965.64,140310
2017-01-01 10:00:00,965.64,979.45,965.99,979.45,1373609
2017-01-01 11:00:00,979.45,979.06,974.23,977.99,1192059
2017-01-01 12:00:00,977.99,978.45,974.31,976.16,407224
2017-01-01 13:00:00,976.16,976.82,974.92,976.48,196575
2017-01-01 14:00:00,976.48,980.0,975.98,980.0,157701
2017-01-01 15:00:00,980.0,981.83,977.61,981.72,801843
2017-01-01 16:00:00,981.72,1009.87,981.14,1000.96,4502401
2017-01-01 17:00:00,1000.96,1004.0,994.27,997.15,1528573
2017-01-01 18:00:00,997.15,1006.19,997.15,1002.0,1718587
2017-01-01 19:00:00,1002.0,1001.96,995.56,998.5,1094131
2017-01-01 20:00:00,998.5,1006.98,997.99,1002.44,1700839
2017-01-01 21:00:00,1002.44,1007.0,1001.5,1005.04,908136
2017-01-01 22:00:00,1005.04,1006.41,1003.29,1004.35,383201
2017-01-01 23:00:00,1004.35,1005.5,994.84,1001.15,1564740
2017-01-02 00:00:00,1001.15,1002.79,996.54,996.95,555692
2017-01-02 01:00:00,996.95,1001.49,997.0,1000.29,705375
2017-01-02 02:00:00,1000.29,1015.0,1000.3,1012.07,1392015
2017-01-02 03:00:00,1012.07,1014.84,1002.08,1006.98,2850166
2017-01-02 04:00:00,1006.98,1012.53,1005.99,1011.54,1064042
2017-01-02 05:00:00,1011.54,1014.52,1011.08,1011.7,600121
2017-01-02 06:00:00,1011.7,1015.14,1011.5,1014.82,748133
2017-01-02 07:00:00,1014.82,1022.54,1014.82,1020.11,950393
2017-01-02 08:00:00,1020.11,1021.97,1012.35,1016.3,1091530
2017-01-02 09:00:00,1016.3,1019.87,1014.4,1017.37,858059
2017-01-02 10:00:00,1017.37,1022.0,1016.0,1020.06,1226505
2017-01-02 11:00:00,1020.06,1030.05,1018.75,1028.46,2002654
2017-01-02 12:00:00,1028.46,1033.0,1023.74,1028.01,1157724
2017-01-02 13:00:00,1028.01,1029.0,997.35,1017.99,4647798
2017-01-02 14:00:00,1017.99,1026.0,1015.28,1024.35,1281141
2017-01-02 15:00:00,1024.35,1029.75,1021.05,1029.0,1332515
2017-01-02 16:00:00,1029.0,1035.0,1023.6,1027.43,1835342
2017-01-02 17:00:00,1027.43,1027.68,1020.57,1027.0,1447265
2017-01-02 18:00:00,1027.0,1029.65,1020.42,1020.42,1037766
2017-01-02 19:00:00,1020.42,1022.24,1011.23,1013.27,2075323
2017-01-02 20:00:00,1013.27,1026.11,1003.73,1024.36,4969614
2017-01-02 21:00:00,1024.36,1026.0,1018.45,1020.36,1178096
2017-01-02 22:00:00,1020.36,1029.91,1020.25,1025.5,1437692
2017-01-02 23:00:00,1025.5,1025.51,1020.32,1022.76,568260
2017-01-03 00:00:00,1022.76,1037.0,1020.01,1032.02,2547327
2017-01-03 01:00:00,1032.02,1034.79,1030.9,1033.88,651139
2017-01-03 02:00:00,1033.88,1037.26,1021.87,1030.05,1300164
2017-01-03 03:00:00,1030.05,1036.03,1030.0,1033.5,596352
2017-01-03 04:00:00,1033.5,1035.97,1029.99,1032.36,590614
2017-01-03 05:00:00,1032.36,1032.26,1026.7,1030.53,332482
2017-01-03 06:00:00,1030.53,1030.12,1020.0,1020.0,834041
2017-01-03 07:00:00,1020.0,1021.85,1015.0,1020.95,966489
2017-01-03 08:00:00,1020.95,1020.98,1016.0,1016.03,325196
2017-01-03 09:00:00,1016.03,1020.0,1003.0,1013.19,1670492
2017-01-03 10:00:00,1013.19,1019.0,1011.5,1018.91,388697
2017-01-03 11:00:00,1018.91,1020.96,1017.9,1017.99,574267
2017-01-03 12:00:00,1017.99,1030.0,1017.8,1025.39,1871398
2017-01-03 13:00:00,1025.39,1025.45,1018.0,1022.4,1176993
2017-01-03 14:00:00,1022.4,1022.5,1016.0,1017.36,894020
2017-01-03 15:00:00,1017.36,1023.33,1017.36,1019.88,685036
2017-01-03 16:00:00,1019.88,1022.28,1018.53,1022.28,294020
2017-01-03 17:00:00,1022.28,1023.33,1021.09,1023.33,194664
2017-01-03 18:00:00,1023.33,1027.0,1021.7,1021.95,565003
2017-01-03 19:00:00,1021.95,1023.86,1018.11,1020.61,378896
2017-01-03 20:00:00,1020.61,1024.39,1018.64,1023.29,524140
2017-01-03 21:00:00,1023.29,1029.35,1022.96,1028.42,960376
2017-01-03 22:00:00,1028.42,1029.64,1026.13,1029.62,240391
2017-01-03 23:00:00,1029.62,1040.66,1028.36,1036.9,2960407
2017-01-04 00:00:00,1036.9,1045.47,1036.49,1038.55,1470042
2017-01-04 01:00:00,1038.55,1049.18,1038.55,1044.61,1313838
2017-01-04 02:00:00,1044.61,1045.77,1041.7,1041.73,848682
2017-01-04 03:00:00,1041.73,1051.55,1042.5,1049.67,711195
2017-01-04 04:00:00,1049.67,1054.8,1047.24,1050.81,709080
2017-01-04 05:00:00,1050.81,1069.45,1050.82,1064.17,2157400
2017-01-04 06:00:00,1064.17,1065.7,1057.56,1062.44,588213
2017-01-04 07:00:00,1062.44,1070.0,1062.27,1065.74,993541
2017-01-04 08:00:00,1065.74,1069.44,1060.5,1060.5,825941
2017-01-04 09:00:00,1060.5,1070.0,1057.0,1070.0,1001263
2017-01-04 10:00:00,1070.0,1084.08,1069.0,1083.0,1103935
2017-01-04 11:00:00,1083.0,1093.92,1065.21,1085.03,3255534
2017-01-04 12:00:00,1085.03,1095.0,1084.6,1093.59,1789740
2017-01-04 13:00:00,1093.59,1108.0,1089.77,1107.77,2913038
2017-01-04 14:00:00,1107.77,1108.0,1067.0,1090.65,6036934
2017-01-04 15:00:00,1090.65,1094.82,1081.88,1090.0,2504969
2017-01-04 16:00:00,1090.0,1105.0,1089.16,1103.93,1283683
2017-01-04 17:00:00,1103.93,1177.9,1101.25,1150.99,5421811
2017-01-04 18:00:00,1150.99,1159.99,1144.0,1150.0,3243616
2017-01-04 19:00:00,1150.0,1153.43,1112.0,1138.85,5420652
2017-01-04 20:00:00,1138.85,1151.71,1105.14,1105.14,5260262
2017-01-04 21:00:00,1105.14,1133.31,1102.76,1115.84,4151763
2017-01-04 22:00:00,1115.84,1175.98,1114.99,1166.41,4120512
2017-01-04 23:00:00,1166.41,1169.11,1143.54,1152.0,2819624
2017-01-05 00:00:00,1152.0,1154.06,1116.66,1125.0,1853208
2017-01-05 01:00:00,1125.0,1155.99,1126.01,1146.92,1531446
2017-01-05 02:00:00,1146.92,1151.98,1132.51,1135.59,1545370
2017-01-05 03:00:00,1135.59,1160.0,1134.0,1153.51,2720435
2017-01-05 04:00:00,1153.51,1171.24,1152.1,1166.58,2166199
2017-01-05 05:00:00,1166.58,1180.45,1167.93,1169.26,2000168
2017-01-05 06:00:00,1169.26,1174.0,1165.52,1168.55,781885
2017-01-05 07:00:00,1168.55,1174.46,1165.36,1165.36,533405
2017-01-05 08:00:00,1165.36,1165.37,1143.19,1160.13,1775056
2017-01-05 09:00:00,1160.13,1160.56,1032.3,1080.0,10865514
2017-01-05 10:00:00,1080.0,1122.2,1071.74,1085.15,4940917
2017-01-05 11:00:00,1085.15,1108.32,1084.16,1093.04,2157918
2017-01-05 12:00:00,1093.04,1095.11,976.13,995.88,15044293
2017-01-05 13:00:00,995.88,1012.33,876.08,941.07,12738982
2017-01-05 14:00:00,941.07,960.0,923.17,953.42,4598074
2017-01-05 15:00:00,953.42,993.26,937.78,984.64,4113828
2017-01-05 16:00:00,984.64,987.5,924.0,945.01,4333315
2017-01-05 17:00:00,945.01,962.49,938.0,955.0,2285819
2017-01-05 18:00:00,955.0,983.0,954.22,974.44,3704654
2017-01-05 19:00:00,974.44,976.96,931.8,952.05,3399354
2017-01-05 20:00:00,952.05,978.99,942.01,966.66,2259446
2017-01-05 21:00:00,966.66,969.72,952.99,969.72,1215453
2017-01-05 22:00:00,969.72,1013.04,961.85,1011.31,3128641
2017-01-05 23:00:00,1011.31,1022.52,988.0,1005.33,3562659
2017-01-06 00:00:00,1005.33,1022.54,1002.46,1022.54,1988367
2017-01-06 01:00:00,1022.54,1029.24,1010.83,1013.2,2140302
2017-01-06 02:00:00,1013.2,1020.15,945.0,948.0,4243921
2017-01-06 03:00:00,948.0,988.43,949.0,987.2,1893221
2017-01-06 04:00:00,987.2,990.0,967.75,971.67,1906919
2017-01-06 05:00:00,971.67,991.44,971.21,980.32,1574794
2017-01-06 06:00:00,980.32,985.97,972.5,980.0,943027
2017-01-06 07:00:00,980.0,987.12,975.99,981.34,639556
2017-01-06 08:00:00,981.34,984.01,932.19,950.44,2318376
2017-01-06 09:00:00,950.44,957.89,900.0,927.16,2685936
2017-01-06 10:00:00,927.16,941.67,905.0,922.13,1583667
2017-01-06 11:00:00,922.13,927.05,841.75,876.04,7847574
2017-01-06 12:00:00,876.04,887.67,857.56,882.63,2905800
2017-01-06 13:00:00,882.63,900.0,879.88,887.7,2768734
2017-01-06 14:00:00,887.7,896.96,864.08,893.01,3682393
2017-01-06 15:00:00,893.01,916.0,893.62,910.19,2131220
2017-01-06 16:00:00,910.19,925.38,896.68,902.98,2264332
2017-01-06 17:00:00,902.98,916.6,902.01,915.76,1532649
2017-01-06 18:00:00,915.76,916.71,877.81,888.0,2649447
2017-01-06 19:00:00,888.0,904.74,880.71,888.0,2030531
2017-01-06 20:00:00,888.0,893.24,876.68,886.8,1562454
2017-01-06 21:00:00,886.8,909.67,884.11,898.34,1633360
2017-01-06 22:00:00,898.34,898.47,886.0,893.37,1219832
2017-01-06 23:00:00,893.37,896.68,882.38,895.85,485107
2017-01-07 00:00:00,895.85,901.57,886.0,887.57,666056
2017-01-07 01:00:00,887.57,896.0,848.27,861.17,1854339
2017-01-07 02:00:00,861.17,865.83,811.19,840.0,5078260
2017-01-07 03:00:00,840.0,847.62,812.65,830.0,2037584
2017-01-07 04:00:00,830.0,835.01,805.03,826.6,2845530
2017-01-07 05:00:00,826.6,841.92,821.0,822.77,553887
2017-01-07 06:00:00,822.77,831.5,816.51,823.24,1189954
2017-01-07 07:00:00,823.24,831.5,816.95,823.0,940433
