Date,Open,High,Low,Close,Volume
2017-01-01 00:00:00,965.23,966.45,963.93,966.25,0
2017-01-01 01:00:00,966.25,966.25,962.66,963.35,0
2017-01-01 02:00:00,963.35,964.98,961.99,962.99,0
2017-01-01 03:00:00,962.99,963.82,961.79,962.48,0
2017-01-01 04:00:00,962.48,962.69,961.37,962.56,0
2017-01-01 05:00:00,962.56,963.13,961.92,963.13,0
2017-01-01 06:00:00,963.13,963.87,962.91,963.8,0
2017-01-01 07:00:00,963.8,964.65,963.8,964.64,0
2017-01-01 08:00:00,964.64,964.64,964.0,964.25,0
2017-01-01 09:00:00,964.25,965.36,964.25,965.26,0
2017-01-01 10:00:00,965.26,975.89,964.87,975.49,0
2017-01-01 11:00:00,975.49,976.06,973.34,975.22,0
2017-01-01 12:00:00,975.22,975.82,973.32,973.38,0
2017-01-01 13:00:00,973.38,974.37,973.34,974.33,0
2017-01-01 14:00:00,974.33,976.55,974.26,976.55,0
2017-01-01 15:00:00,976.55,978.45,975.5,978.38,0
2017-01-01 16:00:00,978.38,996.84,978.69,994.42,0
2017-01-01 17:00:00,994.42,996.43,992.13,994.14,0
2017-01-01 18:00:00,994.14,1001.18,994.14,999.02,0
2017-01-01 19:00:00,999.02,999.04,996.38,998.56,0
2017-01-01 20:00:00,998.56,1004.46,998.11,1003.15,0
2017-01-01 21:00:00,1003.15,1006.25,1001.69,1005.9,0
2017-01-01 22:00:00,1005.9,1006.78,1004.89,1004.89,0
2017-01-01 23:00:00,1004.89,1006.1,997.71,1000.48,0
2017-01-02 00:00:00,1000.48,1001.85,999.8,999.88,0
2017-01-02 01:00:00,999.88,1000.78,997.87,1000.78,0
2017-01-02 02:00:00,1000.78,1009.39,1000.82,1009.39,0
2017-01-02 03:00:00,1009.39,1011.83,1008.69,1010.61,0
2017-01-02 04:00:00,1010.61,1010.82,1008.25,1010.82,0
2017-01-02 05:00:00,1010.82,1011.12,1009.16,1009.16,0
2017-01-02 06:00:00,1009.16,1009.95,1008.82,1009.91,0
2017-01-02 07:00:00,1009.91,1013.25,1009.8,1013.15,0
2017-01-02 08:00:00,1013.15,1013.12,1009.44,1011.17,0
2017-01-02 09:00:00,1011.17,1017.08,1011.16,1017.03,0
2017-01-02 10:00:00,1017.03,1022.29,1017.04,1020.44,0
2017-01-02 11:00:00,1020.44,1028.65,1020.31,1027.96,0
2017-01-02 12:00:00,1027.96,1028.96,1022.92,1026.62,0
2017-01-02 13:00:00,1026.62,1026.38,1004.66,1018.37,0
2017-01-02 14:00:00,1018.37,1025.29,1016.52,1024.65,0
2017-01-02 15:00:00,1024.65,1032.39,1024.43,1030.72,0
2017-01-02 16:00:00,1030.72,1035.85,1029.63,1030.54,0
2017-01-02 17:00:00,1030.54,1030.19,1025.85,1027.02,0
2017-01-02 18:00:00,1027.02,1029.11,1020.8,1021.4,0
2017-01-02 19:00:00,1021.4,1022.24,1014.5,1015.86,0
2017-01-02 20:00:00,1015.86,1018.77,1003.4,1018.45,0
2017-01-02 21:00:00,1018.45,1021.59,1014.73,1017.95,0
2017-01-02 22:00:00,1017.95,1022.38,1017.58,1021.3,0
2017-01-02 23:00:00,1021.3,1021.29,1017.61,1019.87,0
2017-01-03 00:00:00,1019.87,1027.92,1019.76,1026.38,0
2017-01-03 01:00:00,1026.38,1030.78,1025.99,1030.55,0
2017-01-03 02:00:00,1030.55,1033.49,1014.92,1025.59,0
2017-01-03 03:00:00,1025.59,1031.16,1025.82,1030.45,0
2017-01-03 04:00:00,1030.45,1030.9,1027.76,1028.08,0
2017-01-03 05:00:00,1028.08,1028.11,1025.36,1026.49,0
2017-01-03 06:00:00,1026.49,1026.49,1019.62,1019.62,0
2017-01-03 07:00:00,1019.62,1021.36,1013.67,1021.15,0
2017-01-03 08:00:00,1021.15,1021.33,1017.82,1018.34,0
2017-01-03 09:00:00,1018.34,1020.76,1015.75,1017.7,0
2017-01-03 10:00:00,1017.7,1024.72,1016.41,1023.49,0
2017-01-03 11:00:00,1023.49,1026.88,1023.19,1026.13,0
2017-01-03 12:00:00,1026.13,1028.35,1025.46,1026.86,0
2017-01-03 13:00:00,1026.86,1026.86,1021.94,1023.13,0
2017-01-03 14:00:00,1023.13,1023.13,1018.25,1021.53,0
2017-01-03 15:00:00,1021.53,1025.0,1020.34,1023.14,0
2017-01-03 16:00:00,1023.14,1023.82,1021.13,1023.19,0
2017-01-03 17:00:00,1023.19,1024.78,1023.43,1024.78,0
2017-01-03 18:00:00,1024.78,1026.87,1023.92,1023.92,0
2017-01-03 19:00:00,1023.92,1024.21,1019.93,1020.11,0
2017-01-03 20:00:00,1020.11,1023.86,1018.26,1021.43,0
2017-01-03 21:00:00,1021.43,1026.0,1021.73,1024.87,0
2017-01-03 22:00:00,1024.87,1026.45,1023.43,1026.14,0
2017-01-03 23:00:00,1026.14,1037.99,1026.13,1036.09,0
2017-01-04 00:00:00,1036.09,1042.25,1036.28,1036.41,0
2017-01-04 01:00:00,1036.41,1042.76,1035.63,1039.71,0
2017-01-04 02:00:00,1039.71,1043.45,1039.59,1042.12,0
2017-01-04 03:00:00,1042.12,1048.47,1041.55,1046.13,0
2017-01-04 04:00:00,1046.13,1050.97,1046.12,1048.77,0
2017-01-04 05:00:00,1048.77,1059.81,1048.77,1056.01,0
2017-01-04 06:00:00,1056.01,1058.48,1051.17,1056.74,0
2017-01-04 07:00:00,1056.74,1062.38,1057.17,1060.97,0
2017-01-04 08:00:00,1060.97,1062.06,1056.35,1056.35,0
2017-01-04 09:00:00,1056.35,1066.46,1053.14,1066.46,0
2017-01-04 10:00:00,1066.46,1079.64,1065.46,1079.64,0
2017-01-04 11:00:00,1079.64,1086.99,1075.28,1079.63,0
2017-01-04 12:00:00,1079.63,1091.22,1077.1,1090.32,0
2017-01-04 13:00:00,1090.32,1098.59,1088.8,1098.38,0
2017-01-04 14:00:00,1098.38,1098.36,1065.78,1087.95,0
2017-01-04 15:00:00,1087.95,1090.5,1085.4,1089.19,0
2017-01-04 16:00:00,1089.19,1099.38,1087.76,1097.45,0
2017-01-04 17:00:00,1097.45,1134.16,1097.86,1134.16,0
2017-01-04 18:00:00,1134.16,1143.61,1130.64,1137.43,0
2017-01-04 19:00:00,1137.43,1137.78,1102.95,1124.24,0
2017-01-04 20:00:00,1124.24,1133.17,1089.05,1094.18,0
2017-01-04 21:00:00,1094.18,1108.93,1088.79,1093.25,0
2017-01-04 22:00:00,1093.25,1136.11,1093.5,1136.11,0
2017-01-04 23:00:00,1136.11,1138.94,1123.23,1127.0,0
2017-01-05 00:00:00,1127.0,1127.4,1094.28,1099.39,0
2017-01-05 01:00:00,1099.39,1128.86,1100.11,1127.8,0
2017-01-05 02:00:00,1127.8,1133.24,1118.53,1121.06,0
2017-01-05 03:00:00,1121.06,1146.11,1122.49,1141.32,0
2017-01-05 04:00:00,1141.32,1142.75,1138.26,1142.14,0
2017-01-05 05:00:00,1142.14,1148.23,1139.69,1145.48,0
2017-01-05 06:00:00,1145.48,1145.02,1138.96,1141.47,0
2017-01-05 07:00:00,1141.47,1143.9,1135.82,1141.42,0
2017-01-05 08:00:00,1141.42,1144.36,1128.26,1141.53,0
2017-01-05 09:00:00,1141.53,1144.53,1061.4,1075.85,0
2017-01-05 10:00:00,1075.85,1114.87,1070.61,1093.78,0
2017-01-05 11:00:00,1093.78,1106.96,1088.98,1096.11,0
2017-01-05 12:00:00,1096.11,1092.45,975.01,980.06,0
2017-01-05 13:00:00,980.06,991.32,885.99,943.96,0
2017-01-05 14:00:00,943.96,958.42,925.49,950.89,0
2017-01-05 15:00:00,950.89,990.99,939.9,988.3,0
2017-01-05 16:00:00,988.3,985.19,929.75,949.4,0
2017-01-05 17:00:00,949.4,964.7,946.86,955.81,0
2017-01-05 18:00:00,955.81,979.99,958.14,976.73,0
2017-01-05 19:00:00,976.73,978.89,945.0,957.62,0
2017-01-05 20:00:00,957.62,975.68,948.88,966.5,0
2017-01-05 21:00:00,966.5,969.42,957.16,969.42,0
2017-01-05 22:00:00,969.42,1010.19,965.67,1008.93,0
2017-01-05 23:00:00,1008.93,1021.89,990.88,1006.6,0
2017-01-06 00:00:00,1006.6,1018.12,1002.13,1018.12,0
2017-01-06 01:00:00,1018.12,1028.98,1017.09,1017.09,0
2017-01-06 02:00:00,1017.09,1021.07,955.82,955.82,0
2017-01-06 03:00:00,955.82,986.44,958.86,985.42,0
2017-01-06 04:00:00,985.42,984.55,968.57,971.34,0
2017-01-06 05:00:00,971.34,989.25,970.66,980.9,0
2017-01-06 06:00:00,980.9,986.23,974.99,982.84,0
2017-01-06 07:00:00,982.84,989.05,979.63,982.91,0
2017-01-06 08:00:00,982.91,984.15,945.73,959.03,0
2017-01-06 09:00:00,959.03,964.23,904.07,931.57,0
2017-01-06 10:00:00,931.57,940.62,910.55,924.86,0
2017-01-06 11:00:00,924.86,925.62,852.5,882.93,0
2017-01-06 12:00:00,882.93,886.7,867.05,881.45,0
2017-01-06 13:00:00,881.45,897.64,880.79,890.14,0
2017-01-06 14:00:00,890.14,898.64,870.16,897.3,0
2017-01-06 15:00:00,897.3,914.53,898.88,911.16,0
2017-01-06 16:00:00,911.16,919.97,898.82,900.13,0
2017-01-06 17:00:00,900.13,912.93,900.27,912.54,0
2017-01-06 18:00:00,912.54,914.19,880.41,888.25,0
2017-01-06 19:00:00,888.25,901.53,885.2,888.56,0
2017-01-06 20:00:00,888.56,892.96,879.85,886.91,0
2017-01-06 21:00:00,886.91,905.64,884.92,896.78,0
2017-01-06 22:00:00,896.78,895.25,881.69,889.4,0
2017-01-06 23:00:00,889.4,895.12,879.93,895.12,0
2017-01-07 00:00:00,895.12,900.98,883.2,884.86,0
2017-01-07 01:00:00,884.86,893.98,852.74,864.64,0
2017-01-07 02:00:00,864.64,863.72,822.36,842.9,0
2017-01-07 03:00:00,842.9,848.2,819.16,834.12,0
2017-01-07 04:00:00,834.12,837.27,814.24,833.24,0
2017-01-07 05:00:00,833.24,844.36,824.24,824.24,0
2017-01-07 06:00:00,824.24,834.05,821.82,823.6,0
2017-01-07 07:00:00,823.6,831.66,820.69,824.7,0
2017-01-07 08:00:00,824.7,827.66,810.75,810.75,0
2017-01-07 09:00:00,810.75,882.26,810.83,882.26,0
2017-01-07 10:00:00,882.26,876.71,866.35,876.71,0
2017-01-07 11:00:00,876.71,879.11,868.13,872.23,0
2017-01-07 12:00:00,872.23,893.37,872.0,882.83,0
2017-01-07 13:00:00,882.83,883.64,862.87,874.12,0
2017-01-07 14:00:00,874.12,889.45,870.37,886.64,0
2017-01-07 15:00:00,886.64,889.09,878.55,887.82,0
